game_date,Name,type,id,attributes.adjusted_odds,prop_line,odds_type,attributes.projection_type,prop_type,PP_ID,position,team_name,image_url,game_date_time
2024-05-10,Ryan McMahon,projection,2429997,True,0.5,demon,Single Stat,Doubles,67816,IF,COL,https://static.prizepicks.com/images/players/mlb/Ryan_McMahon_021a4720-4f82-4446-9635-f8503c72d1fc.webp,2024-05-10 20:40:00-04:00
2024-05-10,Ryan Mountcastle,projection,2430094,True,0.5,goblin,Single Stat,Hits,67726,IF,BAL,https://static.prizepicks.com/images/players/mlb/Ryan_Mountcastle_9fc34f7c-7d68-4d82-9460-0b12f3e728b5.webp,2024-05-10 19:05:00-04:00
2024-05-10,Bobby Witt Jr.,projection,2429998,True,0.5,demon,Single Stat,Doubles,67565,IF,KC,https://static.prizepicks.com/images/players/mlb/Bobby_Witt_Jr_0f20f69e-28c9-4fb4-8b1e-cde154780682.webp,2024-05-10 21:38:00-04:00
2024-05-10,J.D. Martinez,projection,2430393,True,0.5,goblin,Single Stat,Hits+Runs+RBIs,195539,DH,NYM,https://static.prizepicks.com/images/players/mlb/JD_Martinez_f423faea-d0e3-49b6-b347-52ec5cfac66a.webp,2024-05-10 19:10:00-04:00
2024-05-10,Maikel Garcia,projection,2429999,True,0.5,demon,Single Stat,Doubles,124265,IF,KC,https://static.prizepicks.com/images/players/mlb/Maikel_Garcia_3c07814a-966e-4358-82f5-f59c32af8c94.webp,2024-05-10 21:38:00-04:00
2024-05-10,Isiah Kiner-Falefa,projection,2430713,True,0.5,demon,Single Stat,RBIs,192800,IF,TOR,https://static.prizepicks.com/images/players/mlb/Isiah_Kiner-Falefa_283f2c57-6441-4173-b5a0-728e46b8c894.webp,2024-05-10 19:07:00-04:00
2024-05-10,Jeff McNeil,projection,2430394,True,1.5,demon,Single Stat,Hits+Runs+RBIs,67937,IF,NYM,https://static.prizepicks.com/images/players/mlb/Jeff_McNeil_c31c5931-b7db-447d-9207-5d6f58ec0f4f.webp,2024-05-10 19:10:00-04:00
2024-05-10,Bryan De La Cruz,projection,2430954,True,0.5,demon,Single Stat,Runs,68145,OF,MIA,https://static.prizepicks.com/images/players/mlb/Bryan_De_La_Cruz_d95948d8-a368-4865-addb-7ebcba183429.webp,2024-05-10 19:10:00-04:00
2024-05-10,Salvador Perez,projection,2430000,True,0.5,demon,Single Stat,Doubles,69741,C,KC,https://static.prizepicks.com/images/players/mlb/Salvador_Perez_9baf07d4-b1cb-4494-8c95-600d9e8de1a9.webp,2024-05-10 21:38:00-04:00
2024-05-10,Ryan O'Hearn,projection,2430096,True,0.5,goblin,Single Stat,Hits,141425,IF,BAL,https://static.prizepicks.com/images/players/mlb/Ryan_O'Hearn_95f62738-6fd7-48a0-b8a8-46f17c0f939c.webp,2024-05-10 19:05:00-04:00
2024-05-10,Jose Miranda,projection,2430714,True,0.5,demon,Single Stat,RBIs,69820,IF,MIN,https://static.prizepicks.com/images/players/mlb/Jose_Miranda_1b360804-2bcc-4284-8a52-d88367793d43.webp,2024-05-10 19:07:00-04:00
2024-05-10,Justin Turner,projection,2430715,True,0.5,demon,Single Stat,RBIs,191564,IF,TOR,https://static.prizepicks.com/images/players/mlb/Justin_Turner_893e5243-1278-476c-8801-280b9b14aea7.webp,2024-05-10 19:07:00-04:00
2024-05-10,Vinnie Pasquantino,projection,2430001,True,0.5,demon,Single Stat,Doubles,67795,IF,KC,https://static.prizepicks.com/images/players/mlb/Vinnie_Pasquantino_016c9250-c763-4443-8e02-195db729f76c.webp,2024-05-10 21:38:00-04:00
2024-05-10,Adolis García,projection,2430612,True,0.5,goblin,Single Stat,Hitter Strikeouts,67652,OF,TEX,https://static.prizepicks.com/images/players/mlb/Adolis_García_8f44f889-278d-4321-9158-bb8a4a7ef271.webp,2024-05-10 20:40:00-04:00
2024-05-10,Edmundo Sosa,projection,2430956,True,0.5,demon,Single Stat,Runs,74759,IF,PHI,https://static.prizepicks.com/images/players/mlb/Edmundo_Sosa_2c3dd982-03d9-42ed-9f7f-a40775a0ced8.webp,2024-05-10 19:10:00-04:00
2024-05-10,Emmanuel Rivera,projection,2430957,True,0.5,demon,Single Stat,Runs,194740,IF,MIA,https://static.prizepicks.com/images/players/mlb/Third_Base_52165429-3b43-45fa-b3de-e8135e2d618c.webp,2024-05-10 19:10:00-04:00
2024-05-10,Bo Bichette,projection,2430098,True,0.5,goblin,Single Stat,Hits,67501,IF,TOR,https://static.prizepicks.com/images/players/mlb/Bo_Bichette_88344347-d02f-4bb0-ab54-81f26f13e5b1.webp,2024-05-10 19:07:00-04:00
2024-05-10,Freddie Freeman,projection,2430002,True,0.5,demon,Single Stat,Doubles,67590,IF,LAD,https://static.prizepicks.com/images/players/mlb/Freddie_Freeman_ea1a2111-44cc-4996-babb-9439465e6760.webp,2024-05-10 21:40:00-04:00
2024-05-10,Manuel Margot,projection,2430717,True,0.5,demon,Single Stat,RBIs,194268,OF,MIN,https://static.prizepicks.com/images/players/mlb/Manuel_Margot_bffe5dfd-13f9-457c-a5f8-4ac8c2009ebd.webp,2024-05-10 19:07:00-04:00
